Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,5.012000,5.132000,5.000000,5.028000,4.948190,3542178
2021-04-07,5.020000,5.108000,5.016000,5.052000,4.971809,1906884
2021-04-08,5.082000,5.082000,4.965000,4.998000,4.918667,2928960
2021-04-09,4.998000,5.052000,4.895000,4.906000,4.828127,3235553
2021-04-12,4.920000,4.992000,4.906000,4.944000,4.865524,1804736
2021-04-13,4.952000,4.972000,4.911000,4.920000,4.841905,1315006
2021-04-14,4.935000,4.957000,4.903000,4.921000,4.842889,1270074
2021-04-15,4.921000,4.989000,4.908000,4.918000,4.839937,1526999
2021-04-16,4.935000,5.028000,4.932000,5.010000,4.930476,4210348
2021-04-19,5.020000,5.026000,4.946000,4.957000,4.878317,1966290
2021-04-20,4.951000,4.975000,4.820000,4.820000,4.743492,3064936
2021-04-21,4.849000,4.913000,4.794000,4.901000,4.823206,2075739
2021-04-22,4.944000,4.992000,4.889000,4.963000,4.884222,2780569
2021-04-23,4.935000,5.028000,4.925000,5.002000,4.922603,2294402
2021-04-26,5.014000,5.048000,4.928000,5.026000,4.946222,2165187
2021-04-27,5.000000,5.000000,4.854000,4.942000,4.863555,4957834
2021-04-28,4.975000,4.975000,4.765000,4.797000,4.720857,5237550
2021-04-29,4.823000,4.825000,4.640000,4.706000,4.631301,5125936
2021-04-30,4.713000,4.740000,4.654000,4.677000,4.602762,2835308
2021-05-03,4.681000,4.764000,4.651000,4.733000,4.657873,2260456
2021-05-04,4.742000,4.748000,4.573000,4.605000,4.531905,4445808
2021-05-05,4.625000,4.659000,4.562000,4.615000,4.541746,4336143
2021-05-06,4.622000,4.637000,4.540000,4.624000,4.550603,4131045
2021-05-07,4.638000,4.662000,4.599000,4.661000,4.587016,2888364
2021-05-10,4.690000,4.691000,4.641000,4.655000,4.581111,2630457
2021-05-11,4.640000,4.640000,4.542000,4.581000,4.508286,3464484
2021-05-12,4.618000,4.620000,4.546000,4.595000,4.522063,1942781
2021-05-13,4.640000,4.735000,4.513000,4.713000,4.638190,5449345
2021-05-14,4.743000,4.766000,4.630000,4.684000,4.609651,3729259
2021-05-17,4.705000,4.732000,4.658000,4.700000,4.625397,1728510
2021-05-18,4.738000,4.765000,4.708000,4.754000,4.678540,2356522
2021-05-19,4.720000,4.720000,4.580000,4.660000,4.586031,3313504
2021-05-20,4.706000,4.706000,4.609000,4.677000,4.602762,2074454
2021-05-21,4.708000,4.719000,4.674000,4.695000,4.620476,2245847
2021-05-24,4.700000,4.718000,4.684000,4.716000,4.641143,964384
2021-05-25,4.727000,4.788000,4.715000,4.748000,4.672635,2892437
2021-05-26,4.780000,4.780000,4.696000,4.729000,4.653936,2553622
2021-05-27,4.729000,4.890000,4.729000,4.852000,4.774984,5070613
2021-05-28,4.867000,4.889000,4.815000,4.840000,4.763175,1783174
2021-05-31,4.839000,4.871000,4.826000,4.857000,4.779905,1032853
2021-06-01,4.871000,4.934000,4.858000,4.925000,4.846826,2913802
2021-06-02,4.911000,4.985000,4.906000,4.974000,4.895048,2943156
2021-06-03,4.956000,5.100000,4.956000,5.092000,5.011175,5038431
2021-06-04,5.102000,5.132000,5.080000,5.106000,5.024952,3372430
2021-06-07,5.110000,5.250000,5.102000,5.206000,5.123365,5105662
2021-06-08,5.180000,5.200000,5.142000,5.178000,5.095809,3057803
2021-06-09,5.176000,5.208000,5.124000,5.140000,5.058413,2229039
2021-06-10,5.180000,5.196000,5.134000,5.162000,5.080064,2361572
2021-06-11,5.150000,5.210000,5.144000,5.162000,5.080064,1419462
2021-06-14,5.180000,5.200000,5.096000,5.122000,5.040699,1858836
2021-06-15,5.122000,5.176000,5.112000,5.140000,5.058413,1288540
