ULVRL(-inf,-2] 50
ULVRL(-2,-1.5] 60
ULVRL(-1.5,-1] 19
ULVRL(-1,-0.5] 19
ULVRL(-0.5,0] 55
ULVRL(0,0.5] 78
ULVRL(0.5,1] 34
ULVRL(1,1.5] 33
ULVRL(1.5,2] 51
ULVRL(2,+inf) 36
NFLX(-inf,-2] 102
NFLX(-2,-1.5] 49
NFLX(-1.5,-1] 18
NFLX(-1,-0.5] 19
NFLX(-0.5,0] 19
NFLX(0,0.5] 35
NFLX(0.5,1] 34
NFLX(1,1.5] 58
NFLX(1.5,2] 19
NFLX(2,+inf) 33
KS(-inf,-2] 19
KS(-2,-1.5] 0
KS(-1.5,-1] 19
KS(-1,-0.5] 69
KS(-0.5,0] 132
KS(0,0.5] 36
KS(0.5,1] 19
KS(1,1.5] 19
KS(1.5,2] 0
KS(2,+inf) 0
FB(-inf,-2] 89
FB(-2,-1.5] 19
FB(-1.5,-1] 35
FB(-1,-0.5] 19
FB(-0.5,0] 47
FB(0,0.5] 36
FB(0.5,1] 19
FB(1,1.5] 33
FB(1.5,2] 50
FB(2,+inf) 50
GOOGL(-inf,-2] 83
GOOGL(-2,-1.5] 33
GOOGL(-1.5,-1] 0
GOOGL(-1,-0.5] 62
GOOGL(-0.5,0] 48
GOOGL(0,0.5] 34
GOOGL(0.5,1] 69
GOOGL(1,1.5] 0
GOOGL(1.5,2] 50
GOOGL(2,+inf) 19
RACE(-inf,-2] 77
RACE(-2,-1.5] 18
RACE(-1.5,-1] 38
RACE(-1,-0.5] 0
RACE(-0.5,0] 76
RACE(0,0.5] 36
RACE(0.5,1] 76
RACE(1,1.5] 19
RACE(1.5,2] 19
RACE(2,+inf) 36
TSLA(-inf,-2] 80
TSLA(-2,-1.5] 47
TSLA(-1.5,-1] 19
TSLA(-1,-0.5] 18
TSLA(-0.5,0] 33
TSLA(0,0.5] 19
TSLA(0.5,1] 19
TSLA(1,1.5] 33
TSLA(1.5,2] 36
TSLA(2,+inf) 87
PFE(-inf,-2] 18
PFE(-2,-1.5] 30
PFE(-1.5,-1] 0
PFE(-1,-0.5] 48
PFE(-0.5,0] 87
PFE(0,0.5] 70
PFE(0.5,1] 18
PFE(1,1.5] 18
PFE(1.5,2] 37
PFE(2,+inf) 76
JNJ(-inf,-2] 0
JNJ(-2,-1.5] 52
JNJ(-1.5,-1] 59
JNJ(-1,-0.5] 46
JNJ(-0.5,0] 82
JNJ(0,0.5] 33
JNJ(0.5,1] 49
JNJ(1,1.5] 59
JNJ(1.5,2] 0
JNJ(2,+inf) 38
AAPL(-inf,-2] 45
AAPL(-2,-1.5] 0
AAPL(-1.5,-1] 81
AAPL(-1,-0.5] 57
AAPL(-0.5,0] 19
AAPL(0,0.5] 61
AAPL(0.5,1] 52
AAPL(1,1.5] 48
AAPL(1.5,2] 19
AAPL(2,+inf) 19
WMT(-inf,-2] 19
WMT(-2,-1.5] 34
WMT(-1.5,-1] 60
WMT(-1,-0.5] 89
WMT(-0.5,0] 77
WMT(0,0.5] 35
WMT(0.5,1] 19
WMT(1,1.5] 19
WMT(1.5,2] 19
WMT(2,+inf) 35
T(-inf,-2] 125
T(-2,-1.5] 51
T(-1.5,-1] 60
T(-1,-0.5] 65
T(-0.5,0] 18
T(0,0.5] 0
T(0.5,1] 0
T(1,1.5] 0
T(1.5,2] 0
T(2,+inf) 0
PIRCMI(-inf,-2] 113
PIRCMI(-2,-1.5] 18
PIRCMI(-1.5,-1] 56
PIRCMI(-1,-0.5] 33
PIRCMI(-0.5,0] 49
PIRCMI(0,0.5] 0
PIRCMI(0.5,1] 19
PIRCMI(1,1.5] 19
PIRCMI(1.5,2] 19
PIRCMI(2,+inf) 70
TCEHY(-inf,-2] 28
TCEHY(-2,-1.5] 52
TCEHY(-1.5,-1] 35
TCEHY(-1,-0.5] 59
TCEHY(-0.5,0] 48
TCEHY(0,0.5] 47
TCEHY(0.5,1] 64
TCEHY(1,1.5] 33
TCEHY(1.5,2] 35
TCEHY(2,+inf) 19
F(-inf,-2] 90
F(-2,-1.5] 36
F(-1.5,-1] 19
F(-1,-0.5] 18
F(-0.5,0] 34
F(0,0.5] 19
F(0.5,1] 60
F(1,1.5] 33
F(1.5,2] 19
F(2,+inf) 64
PEP(-inf,-2] 48
PEP(-2,-1.5] 36
PEP(-1.5,-1] 76
PEP(-1,-0.5] 93
PEP(-0.5,0] 66
PEP(0,0.5] 19
PEP(0.5,1] 18
PEP(1,1.5] 0
