ULVRL(-inf,-2] 95
ULVRL(-2,-1.5] 92
ULVRL(-1.5,-1] 140
ULVRL(-1,-0.5] 146
ULVRL(-0.5,0] 160
ULVRL(0,0.5] 164
ULVRL(0.5,1] 157
ULVRL(1,1.5] 110
ULVRL(1.5,2] 107
ULVRL(2,+inf) 62
NFLX(-inf,-2] 149
NFLX(-2,-1.5] 119
NFLX(-1.5,-1] 133
NFLX(-1,-0.5] 151
NFLX(-0.5,0] 134
NFLX(0,0.5] 143
NFLX(0.5,1] 134
NFLX(1,1.5] 139
NFLX(1.5,2] 118
NFLX(2,+inf) 126
KS(-inf,-2] 143
KS(-2,-1.5] 139
KS(-1.5,-1] 147
KS(-1,-0.5] 154
KS(-0.5,0] 176
KS(0,0.5] 155
KS(0.5,1] 100
KS(1,1.5] 96
KS(1.5,2] 34
KS(2,+inf) 50
FB(-inf,-2] 132
FB(-2,-1.5] 96
FB(-1.5,-1] 147
FB(-1,-0.5] 131
FB(-0.5,0] 146
FB(0,0.5] 145
FB(0.5,1] 128
FB(1,1.5] 129
FB(1.5,2] 121
FB(2,+inf) 154
GOOGL(-inf,-2] 132
GOOGL(-2,-1.5] 100
GOOGL(-1.5,-1] 120
GOOGL(-1,-0.5] 141
GOOGL(-0.5,0] 152
GOOGL(0,0.5] 157
GOOGL(0.5,1] 140
GOOGL(1,1.5] 122
GOOGL(1.5,2] 116
GOOGL(2,+inf) 110
RACE(-inf,-2] 113
RACE(-2,-1.5] 95
RACE(-1.5,-1] 116
RACE(-1,-0.5] 150
RACE(-0.5,0] 154
RACE(0,0.5] 147
RACE(0.5,1] 166
RACE(1,1.5] 113
RACE(1.5,2] 88
RACE(2,+inf) 104
TSLA(-inf,-2] 155
TSLA(-2,-1.5] 113
TSLA(-1.5,-1] 118
TSLA(-1,-0.5] 120
TSLA(-0.5,0] 125
TSLA(0,0.5] 149
TSLA(0.5,1] 125
TSLA(1,1.5] 118
TSLA(1.5,2] 120
TSLA(2,+inf) 163
PFE(-inf,-2] 163
PFE(-2,-1.5] 147
PFE(-1.5,-1] 134
PFE(-1,-0.5] 134
PFE(-0.5,0] 143
PFE(0,0.5] 142
PFE(0.5,1] 85
PFE(1,1.5] 75
PFE(1.5,2] 78
PFE(2,+inf) 131
JNJ(-inf,-2] 140
JNJ(-2,-1.5] 148
JNJ(-1.5,-1] 164
JNJ(-1,-0.5] 161
JNJ(-0.5,0] 149
JNJ(0,0.5] 115
JNJ(0.5,1] 124
JNJ(1,1.5] 72
JNJ(1.5,2] 37
JNJ(2,+inf) 53
AAPL(-inf,-2] 115
AAPL(-2,-1.5] 108
AAPL(-1.5,-1] 137
AAPL(-1,-0.5] 150
AAPL(-0.5,0] 140
AAPL(0,0.5] 151
AAPL(0.5,1] 136
AAPL(1,1.5] 129
AAPL(1.5,2] 128
AAPL(2,+inf) 120
WMT(-inf,-2] 131
WMT(-2,-1.5] 138
WMT(-1.5,-1] 144
WMT(-1,-0.5] 161
WMT(-0.5,0] 158
WMT(0,0.5] 157
WMT(0.5,1] 120
WMT(1,1.5] 54
WMT(1.5,2] 86
WMT(2,+inf) 35
T(-inf,-2] 174
T(-2,-1.5] 154
T(-1.5,-1] 151
T(-1,-0.5] 146
T(-0.5,0] 116
T(0,0.5] 81
T(0.5,1] 47
T(1,1.5] 19
T(1.5,2] 0
T(2,+inf) 0
PIRCMI(-inf,-2] 154
PIRCMI(-2,-1.5] 144
PIRCMI(-1.5,-1] 141
PIRCMI(-1,-0.5] 145
PIRCMI(-0.5,0] 158
PIRCMI(0,0.5] 145
PIRCMI(0.5,1] 140
PIRCMI(1,1.5] 131
PIRCMI(1.5,2] 121
PIRCMI(2,+inf) 134
TCEHY(-inf,-2] 170
TCEHY(-2,-1.5] 134
TCEHY(-1.5,-1] 120
TCEHY(-1,-0.5] 130
TCEHY(-0.5,0] 109
TCEHY(0,0.5] 140
TCEHY(0.5,1] 94
TCEHY(1,1.5] 44
TCEHY(1.5,2] 67
TCEHY(2,+inf) 68
F(-inf,-2] 165
F(-2,-1.5] 145
F(-1.5,-1] 133
F(-1,-0.5] 131
F(-0.5,0] 112
F(0,0.5] 113
F(0.5,1] 133
F(1,1.5] 123
F(1.5,2] 98
F(2,+inf) 153
PEP(-inf,-2] 150
PEP(-2,-1.5] 151
PEP(-1.5,-1] 155
PEP(-1,-0.5] 160
PEP(-0.5,0] 161
PEP(0,0.5] 110
PEP(0.5,1] 85
PEP(1,1.5] 65
PEP(1.5,2] 35
PEP(2,+inf) 19
MMM(-inf,-2] 163
MMM(-2,-1.5] 158
MMM(-1.5,-1] 157
MMM(-1,-0.5] 152
MMM(-0.5,0] 142
MMM(0,0.5] 114
MMM(0.5,1] 85
MMM(1,1.5] 58
MMM(1.5,2] 19
MMM(2,+inf) 19
KO(-inf,-2] 161
KO(-2,-1.5] 145
KO(-1.5,-1] 143
KO(-1,-0.5] 148
KO(-0.5,0] 139
KO(0,0.5] 148
KO(0.5,1] 95
KO(1,1.5] 49
KO(1.5,2] 37
KO(2,+inf) 19
AMZN(-inf,-2] 131
AMZN(-2,-1.5] 116
AMZN(-1.5,-1] 121
AMZN(-1,-0.5] 144
AMZN(-0.5,0] 144
AMZN(0,0.5] 137
AMZN(0.5,1] 133
AMZN(1,1.5] 124
AMZN(1.5,2] 100
AMZN(2,+inf) 151
SVNDF(-inf,-2] 184
SVNDF(-2,-1.5] 0
SVNDF(-1.5,-1] 0
SVNDF(-1,-0.5] 0
SVNDF(-0.5,0] 166
SVNDF(0,0.5] 0
SVNDF(0.5,1] 19
SVNDF(1,1.5] 0
SVNDF(1.5,2] 0
SVNDF(2,+inf) 0
