Word,x,y
SVNDFAAA,12.178492,11.051129
TCEHYAAA,14.13418,11.509902
TAAA,12.065801,14.825817
KOAAA,11.313149,15.967464
MMMAAA,10.700881,15.032034
PFEAAA,11.750829,14.215743
PEPAAA,11.5328,15.479985
FAAA,-2.0301025,10.350558
JNJAAA,11.922924,16.083693
ULVRLFFF,12.049483,12.397601
RACEEEE,13.548416,12.895775
TSLAJJJ,7.2337146,4.530178
WMTDDD,7.989004,13.319683
ULVRLEEE,5.515439,9.451089
JNJCCC,4.3009067,7.5068893
RACEFFF,9.822343,14.891312
GOOGLFFF,8.097632,10.982527
KSEEE,-8.287679,-0.54565376
GOOGLEEE,11.483706,12.790362
TSLAAAA,-4.131681,8.435124
WMTBBB,14.6092825,10.657495
JNJBBB,11.151056,13.6597185
KSDDD,8.59424,12.624511
AMZNDDD,12.721694,9.827244
WMTCCC,11.197885,14.350749
KSCCC,12.953061,10.773333
AAPLDDD,12.074804,10.2466755
PEPBBB,7.6818414,11.098592
MMMBBB,1.6591208,9.861475
RACEGGG,3.8255198,2.9129968
ULVRLGGG,0.45711082,5.146327
WMTEEE,1.4953367,3.6341703
PEPDDD,-2.7294016,2.0139406
PEPCCC,4.616499,7.590149
PIRCMIEEE,1.0759559,4.6139936
AAPLFFF,9.216094,11.472147
FBBB,13.144105,8.554936
FBEEE,13.954431,11.371797
NFLXFFF,9.948767,13.416016
PIRCMIAAA,6.226371,8.324027
KOBBB,8.23057,12.295777
KSAAA,10.408987,12.981732
NFLXDDD,12.448596,11.726543
ULVRLDDD,4.5874057,5.716735
JNJDDD,-0.6985927,9.282217
FBFFF,12.020954,12.486767
KSBBB,10.252166,14.443744
AMZNEEE,9.581334,12.922279
PIRCMICCC,12.73503,12.931974
FBJJJ,-9.532656,-5.0240865
MMMCCC,-0.2638647,6.241144
PFEBBB,12.960663,13.175543
AAPLGGG,7.656208,5.93522
NFLXGGG,8.602277,11.629373
AAPLEEE,12.769731,9.993787
AMZNFFF,10.096596,10.142379
FBCCC,0.85906404,10.495091
WMTFFF,-10.358675,-2.7843113
PIRCMIFFF,2.211623,5.870691
RACEDDD,-2.8366666,8.859319
NFLXEEE,10.695573,10.695709
PEPEEE,-6.361133,2.832879
AMZNGGG,8.145899,7.6188993
GOOGLDDD,1.4821103,11.210347
NFLXAAA,-5.7858396,5.908029
FBDDD,13.49254,11.566711
GOOGLGGG,7.735907,5.449599
FJJJ,-10.095591,3.1943781
AAPLCCC,13.886068,10.416064
FCCC,10.044951,11.221664
PFEEEE,-0.009015149,7.735615
KOCCC,-0.38779354,7.193071
PIRCMIDDD,3.4821098,9.541796
AMZNJJJ,-9.899184,-4.63535
AMZNAAA,-6.457771,6.5058923
KODDD,-4.8365364,-1.037958
FBAAA,-7.2301025,6.0472436
