Word,x,y
SVNDFAAA,3.2592607,2.9877467
TCEHYAAA,2.5658429,3.2018104
TAAA,1.9054223,2.7601182
KOAAA,1.7151874,2.6021106
MMMAAA,1.1820605,2.7100346
PFEAAA,2.0768855,3.205013
PEPAAA,1.8805885,2.6299746
FAAA,2.7915394,0.49867478
JNJAAA,0.7227255,1.8819796
ULVRLFFF,2.146103,1.4168404
RACEEEE,2.1689937,2.0114734
TSLAJJJ,-0.91225237,0.25701705
WMTDDD,0.14356881,2.5949917
ULVRLEEE,0.7728851,1.4610664
JNJCCC,1.2499765,-1.227319
RACEFFF,1.1625662,2.546359
GOOGLFFF,-0.44566613,2.206986
KSEEE,1.2823849,1.6044625
GOOGLEEE,2.3305235,3.3434978
TSLAAAA,-0.97230595,0.10733584
WMTBBB,3.0304477,2.4857125
JNJBBB,1.2917013,3.0622745
KSDDD,1.3688079,1.7886376
AMZNDDD,2.1280777,1.7026677
WMTCCC,1.1811296,2.4352632
KSCCC,2.380618,2.1261165
AAPLDDD,2.365107,2.2121723
PEPBBB,-0.77420425,1.547619
MMMBBB,3.9124112,1.5059568
RACEGGG,-1.697689,0.6378612
ULVRLGGG,1.9222796,-1.3705286
WMTEEE,1.5803652,-0.717613
PEPDDD,1.240763,0.75385255
PEPCCC,3.1227427,-0.9958082
PIRCMIEEE,1.4795743,-1.1532936
AAPLFFF,0.75728977,3.1806111
FBBB,2.3976898,0.9253857
FBEEE,3.0566478,2.4650314
NFLXFFF,0.53801966,1.7604212
PIRCMIAAA,-0.7090284,2.8782315
KOBBB,0.53,3.2680643
KSAAA,1.7159375,2.747677
NFLXDDD,2.3021839,2.372656
ULVRLDDD,-1.6300088,1.085689
JNJDDD,0.33938235,-0.5304093
FBFFF,1.7596701,1.6605455
KSBBB,1.3066556,2.0770774
AMZNEEE,0.3210445,2.4258337
PIRCMICCC,2.5612752,2.6497917
FBJJJ,3.046263,1.4837899
MMMCCC,0.33327216,-1.3867327
PFEBBB,2.6049159,2.636581
AAPLGGG,-1.1036173,0.8153503
NFLXGGG,0.12764497,1.8882058
AAPLEEE,2.5699348,2.0735283
AMZNFFF,0.49197945,0.85174066
FBCCC,1.7662842,-0.07824766
WMTFFF,1.8423157,1.6306845
PIRCMIFFF,-0.5931027,-0.89991623
RACEDDD,-0.67556894,-0.23020619
NFLXEEE,1.4678348,1.8702408
PEPEEE,0.09293555,2.0171936
AMZNGGG,-0.8870967,1.9378204
GOOGLDDD,3.7784543,1.9424019
NFLXAAA,-0.7446893,1.3825314
FBDDD,2.3386278,2.4351454
GOOGLGGG,-0.9525279,0.84534323
FJJJ,3.2860382,0.78495014
AAPLCCC,2.1264706,1.4698948
FCCC,0.5454633,2.4304566
PFEEEE,0.23844537,-0.8044804
KOCCC,0.63238907,-1.2340289
PIRCMIDDD,3.73067,0.9234557
AMZNJJJ,3.0230007,1.7477353
AMZNAAA,-0.879354,1.245073
KODDD,1.5505626,0.6116675
FBAAA,0.44366315,1.2652835
MMMDDD,-0.08410484,-0.71215165
GOOGLHHH,-0.42034513,1.4676768
TSLAEEE,1.3070273,2.950647
TDDD,0.97261286,-0.20536388
TBBB,-0.15744717,0.90158266
SVNDFEEE,1.2923971,3.2033753
KSFFF,1.6346911,2.2187862
PIRCMIBBB,3.4022946,-0.16412064
JNJEEE,1.48591,1.3079567
TSLAFFF,0.5799099,0.55677485
AAPLHHH,1.2737789,-0.017816987
FBHHH,-1.1650273,0.7900488
NFLXHHH,0.61278015,-0.8262133
TSLAGGG,-1.0185181,1.293251
TSLADDD,1.2412319,1.767748
TCCC,1.4649055,2.2891488
PIRCMIGGG,0.8835004,0.2455154
FGGG,-0.19243622,0.4280508
