Word,x,y,z
SVNDFAAA,100.51163,-32.60004,6.495934
TCEHYAAA,149.10173,-51.035065,8.179827
TAAA,65.88792,-62.329918,110.988335
KOAAA,66.4475,-96.60078,144.38145
MMMAAA,75.89869,-117.21932,-31.383081
PFEAAA,85.527336,-92.79105,93.78996
PEPAAA,-17.193045,-45.017067,-183.46587
FAAA,-77.192406,-13.94207,141.06358
JNJAAA,86.44302,-55.850456,154.2823
ULVRLFFF,25.063978,-48.697315,130.02095
RACEEEE,100.57876,-33.777344,58.318523
TSLAJJJ,-48.542206,-112.964165,-58.902393
WMTDDD,15.288163,-168.19472,-39.488197
ULVRLEEE,62.810192,29.132484,63.747486
JNJCCC,-6.613796,-53.085125,83.45001
RACEFFF,67.04796,-159.956,14.346206
GOOGLFFF,-8.485481,-131.99939,-10.298239
KSEEE,63.048016,-136.2444,-104.17842
GOOGLEEE,96.72934,-82.91759,38.521763
TSLAAAA,-95.81109,24.91324,107.30325
WMTBBB,74.36805,-11.07959,105.52035
JNJBBB,17.467575,-116.85414,-47.039696
KSDDD,121.63604,13.409234,31.248
AMZNDDD,117.9035,-46.846943,-52.279217
WMTCCC,105.90403,-57.91935,103.48564
KSCCC,100.32104,-12.603781,-110.62989
AAPLDDD,-23.443268,53.810112,163.20589
PEPBBB,7.613138,-99.23573,6.5896454
MMMBBB,40.297356,36.873665,100.9867
RACEGGG,28.243782,-67.11114,-125.93403
ULVRLGGG,-130.72408,-53.085697,44.73308
WMTEEE,24.40201,-27.20226,-82.55425
PEPDDD,119.69126,-138.17464,-99.90783
PEPCCC,108.31105,-136.18106,34.277176
PIRCMIEEE,-108.0859,96.40598,93.53546
AAPLFFF,57.866573,-18.908003,7.5518403
FBBB,38.077854,1.3466314,137.94537
FBEEE,-7.7504787,-88.55466,137.20935
NFLXFFF,62.209892,-101.63762,15.631489
PIRCMIAAA,10.382942,-29.786816,10.206193
KOBBB,35.61709,-135.83368,-11.746288
KSAAA,64.86236,-59.176987,18.310814
NFLXDDD,-178.15446,-25.365955,98.360054
ULVRLDDD,-2.1737316,136.77023,-129.42206
JNJDDD,24.640661,92.03641,125.82878
FBFFF,124.31895,-81.531624,63.949257
KSBBB,-24.684002,-132.65129,-107.28731
AMZNEEE,21.023232,-112.36921,-86.825005
PIRCMICCC,63.38837,-63.96801,63.77165
FBJJJ,-129.63991,76.69692,-83.56492
MMMCCC,-77.705574,-51.365166,47.44809
PFEBBB,60.255913,-29.22896,62.777637
AAPLGGG,-4.694302,-50.05865,-32.57528
NFLXGGG,21.96694,-136.96722,26.91083
AAPLEEE,114.0307,21.148594,-44.1691
AMZNFFF,-66.21353,-115.39259,-4.3378572
FBCCC,17.520964,6.8259907,67.81332
WMTFFF,-95.05093,135.32213,29.640736
PIRCMIFFF,-118.0781,-37.03556,-4.309764
RACEDDD,-87.87361,-19.865294,99.31838
NFLXEEE,79.9958,9.067398,30.686604
PEPEEE,163.45758,-67.148445,107.93148
AMZNGGG,77.787636,136.09999,96.39046
GOOGLDDD,20.498945,-13.874023,97.66423
NFLXAAA,-145.32217,43.52224,77.11366
FBDDD,143.49127,-31.263618,43.294495
GOOGLGGG,5.5892577,-14.070581,-38.139637
FJJJ,-100.698265,-45.286762,-92.01993
AAPLCCC,125.861206,-6.315374,-16.329628
FCCC,76.25525,106.540474,16.64948
PFEEEE,21.54648,18.576078,-7.1620526
KOCCC,81.83363,-8.389414,-66.119316
PIRCMIDDD,-9.509136,55.017597,107.7175
AMZNJJJ,47.463173,103.93827,-110.52141
AMZNAAA,0.9886299,153.8588,38.886326
KODDD,-79.22528,17.958784,-112.841896
FBAAA,-141.6833,67.73862,31.282227
MMMDDD,-73.50979,58.292698,-150.6942
GOOGLHHH,-30.115696,-156.16248,16.061666
TSLAEEE,82.192474,-60.96879,-20.393263
TDDD,-64.468414,-59.512695,-79.170555
TBBB,145.68166,-3.5688848,-98.013336
SVNDFEEE,-19.977491,123.03866,-7.2652607
KSFFF,-63.14669,65.59915,-78.898285
PIRCMIBBB,139.08046,-134.99873,74.90924
JNJEEE,-67.07182,30.340414,-53.23305
TSLAFFF,6.526951,-95.44032,74.494705
AAPLHHH,-74.46227,-95.10289,140.00578
FBHHH,46.37818,-24.987307,-40.466423
NFLXHHH,-9.831995,-47.0141,-130.44043
TSLAGGG,118.05867,54.834904,69.72679
TSLADDD,115.24992,-87.517456,-7.4919877
TCCC,-6.8642006,112.675446,-57.922863
PIRCMIGGG,-28.926825,10.714053,-143.64725
FGGG,-26.460583,-139.38876,71.06168
PIRCMIHHH,55.55835,44.04455,15.479023
AMZNHHH,30.132517,-70.03901,-17.135609
NFLXCCC,3.484135,10.107012,122.59905
NFLXJJJ,-130.76257,-57.008877,-66.24897
GOOGLAAA,-112.49554,38.15088,19.097107
WMTAAA,25.601301,29.276733,167.39864
PFEFFF,-40.23062,29.900303,22.156012
GOOGLCCC,-38.235123,21.367697,104.466576
AAPLAAA,-114.095184,13.506157,56.103355
FBGGG,-25.382854,-83.984634,-27.017048
PFECCC,13.361591,-53.227077,35.001812
FDDD,-18.132254,-12.887351,41.989014
KOFFF,-62.66614,95.475784,35.11032
TCEHYBBB,-17.74973,36.199623,68.400406
AMZNCCC,63.965878,28.232054,-35.45917
KOEEE,75.398895,-170.06767,-58.467937
ULVRLCCC,-72.912865,-20.989702,29.672087
PFEDDD,23.975912,78.27152,67.438095
AAPLIII,-53.11728,-54.896732,-123.60584
PIRCMIJJJ,91.3249,98.04555,-73.727135
NFLXBBB,-43.09679,-25.385647,101.99983
MMMEEE,-18.183994,57.585407,-55.878517
FEEE,99.52815,35.717804,128.22697
FBIII,38.19047,-29.532824,-146.26672
TSLACCC,-49.44411,-83.87929,91.43389
TSLAHHH,-31.28288,-62.365307,34.8287
RACEHHH,-30.76158,-111.15137,30.719189
AMZNBBB,163.76239,-31.548409,-68.801
TSLAIII,124.05449,7.041633,89.95268
TCEHYCCC,58.150826,-128.26437,68.52826
RACEAAA,173.40297,40.746136,34.54653
AAPLBBB,-31.071638,-198.11772,-56.051346
RACECCC,92.88952,46.860764,-97.66709
FFFF,43.65862,-73.38606,-62.50929
PFEJJJ,-33.018425,86.47477,-31.176233
NFLXIII,-15.76959,-63.688267,-88.63699
ULVRLHHH,-112.74026,-67.64467,107.927376
GOOGLIII,-99.29228,-79.73656,-50.03345
TSLABBB,-127.33759,-1.5089518,85.762985
TCEHYFFF,-40.87179,-18.957619,-51.274776
JNJGGG,-30.838438,61.45706,-111.46905
TCEHYDDD,-75.310844,5.1382174,-11.560506
GOOGLJJJ,-137.99063,93.04105,-37.68819
FHHH,-34.148422,11.131346,-75.55593
PIRCMIIII,82.60538,86.734856,103.438156
JNJFFF,8.338725,57.78048,19.320108
FBBBB,-27.445707,1.4377853,158.52928
AMZNIII,-0.030311253,12.409288,-117.53835
GOOGLBBB,-71.42988,9.95668,70.85389
AAPLJJJ,152.87529,58.356873,-55.558228
WMTGGG,6.293042,71.97737,-28.434614
PEPFFF,-61.844307,118.64019,-9.71688
MMMFFF,-33.925808,16.993982,-18.909143
TCEHYEEE,57.599216,-42.26134,-99.95041
ULVRLIII,25.783066,26.304802,-69.250206
RACEJJJ,29.38785,131.93227,-84.02761
RACEBBB,-93.48008,50.914112,61.926994
FIII,-24.424326,-19.19812,-107.22635
TEEE,-92.79977,97.65823,-51.178722
ULVRLAAA,48.388977,132.38535,53.418865
ULVRLBBB,-61.331665,-50.099136,-8.4393
TCEHYGGG,-51.265224,102.047356,89.16803
KSGGG,150.81532,-110.51157,-44.42039
KSHHH,40.814774,10.89926,-117.12019
PEPGGG,-118.401985,134.84366,-69.95217
KOGGG,90.66718,-89.00375,-108.12572
RACEIII,-91.02241,-107.03874,-102.483955
MMMGGG,-73.082924,151.95996,-78.38638
PFEIII,-94.08511,-93.42017,44.207157
TCEHYJJJ,-92.91248,114.4009,-100.65633
TFFF,-90.6772,88.611984,1.1997225
WMTIII,-3.2408056,87.08739,-93.81034
PFEGGG,-58.83362,46.821957,-14.583341
PFEHHH,118.39172,130.87672,-28.211994
TCEHYIII,-61.27038,158.0238,21.668703
JNJHHH,-26.081837,81.01143,13.230601
WMTHHH,17.250803,104.55617,11.425309
PEPHHH,-31.129015,4.641923,-211.41426
ULVRLJJJ,-118.30104,5.9833407,-47.438614
MMMHHH,-89.83472,150.09612,-32.241398
KOHHH,-44.19813,134.121,-44.67459
KSJJJ,-23.686941,184.29227,-43.623985
TCEHYHHH,80.54591,70.62615,50.168434
JNJJJJ,-108.645645,48.941273,-37.032818
TGGG,70.70829,79.36216,-20.115383
WMTJJJ,-8.789172,120.27051,63.56322
KSIII,-70.5576,-4.8050294,-65.444885
KOIII,5.2677565,175.63396,-24.034441
PEPIII,-135.5644,25.07181,-88.1142
JNJIII,-45.05966,102.50963,-87.8507
MMMJJJ,178.7298,-0.37615803,-20.14907
KOJJJ,39.685123,77.30219,-69.73568
THHH,18.021011,-139.13428,92.99741
MMMIII,32.345356,129.57532,-36.63055
PEPJJJ,125.30246,91.59986,18.853878
SVNDFGGG,14.595873,77.16482,-137.79141
