Word,x,y,z
SVNDFAAA,181.00897,77.336624,12.467529
TCEHYAAA,120.75798,34.245068,37.80576
TAAA,151.271,314.15817,129.74214
KOAAA,140.4632,-83.84491,-285.4211
MMMAAA,46.82487,50.805573,50.3509
PFEAAA,84.53778,122.71208,-82.68246
PEPAAA,4.2954607,55.13579,75.568954
FAAA,-121.133026,81.329735,108.97415
JNJAAA,95.39194,108.938194,98.91747
ULVRLFFF,67.26323,-58.93513,-88.20203
RACEEEE,138.33392,-39.6281,-124.386795
TSLAJJJ,32.341354,101.804565,-41.74805
WMTDDD,69.14491,-11.576143,145.49594
ULVRLEEE,-20.658878,-60.901287,-44.790195
JNJCCC,-52.309017,-88.17823,-98.136955
RACEFFF,34.018574,-32.287476,96.19899
GOOGLFFF,78.00286,-131.56595,97.08962
KSEEE,122.90919,68.86852,-88.43193
GOOGLEEE,79.77671,79.23687,12.175582
TSLAAAA,-112.65679,-47.47726,3.2883496
WMTBBB,54.8134,123.67459,41.023266
JNJBBB,123.131004,33.329548,-152.719
KSDDD,35.9009,28.776371,-18.300974
AMZNDDD,103.97208,-37.474537,-49.947044
WMTCCC,179.52383,8.81661,42.15709
KSCCC,26.615751,86.23491,-97.26519
AAPLDDD,127.00906,-17.0916,9.489138
PEPBBB,-37.435184,-53.811195,88.68318
MMMBBB,52.28576,156.85954,-133.05978
RACEGGG,-155.13191,-80.86813,104.37787
ULVRLGGG,65.39309,-120.61241,3.7619147
WMTEEE,-108.688965,-54.214172,-133.13797
PEPDDD,9.714279,-95.990944,-3.1729684
PEPCCC,7.913138,-84.87139,-107.68377
PIRCMIEEE,-27.710829,-124.850655,-148.01123
AAPLFFF,88.85524,9.046037,-25.546503
FBBB,168.44954,4.5883365,-23.859995
FBEEE,73.247055,60.99846,-51.679035
NFLXFFF,61.433674,333.96472,229.73682
PIRCMIAAA,124.5821,-98.32711,-94.53796
KOBBB,37.347797,2.7445679,28.76353
KSAAA,-41.53231,-123.35177,195.26495
NFLXDDD,76.343285,-30.022194,24.955091
ULVRLDDD,-147.1339,-115.56379,40.16738
JNJDDD,-139.09637,-29.765743,-58.479
FBFFF,-77.71434,56.37023,-15.506666
KSBBB,31.747597,32.848404,-142.05312
AMZNEEE,12.438724,-54.754543,145.97678
PIRCMICCC,126.119064,61.407654,-17.41187
FBJJJ,-22.804688,101.84286,-65.22675
MMMCCC,-58.555725,-157.94757,-94.515564
PFEBBB,93.50909,124.46967,-16.555851
AAPLGGG,-33.724556,-162.36752,74.12165
NFLXGGG,133.7802,-11.9698925,78.271965
AAPLEEE,-27.906216,51.881603,2.8416111
AMZNFFF,-71.88833,66.12104,67.45526
FBCCC,-55.30311,168.88342,-9.414609
WMTFFF,7.5121813,-41.85703,20.26469
PIRCMIFFF,-111.685265,-123.51113,-111.95121
RACEDDD,-88.81657,-118.10507,5.227173
